Sample_ID	Site	Depth	Ecosite
ASCC145_15_101_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC146_12_82_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC148_10_67_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC149_3_16_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC15_T3C_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC150_9_58_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC151_9_60_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC152_7_44_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC153_13_87_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC154_15_101_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC155_13_88_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC156_8_52_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC157_13_88_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC_158_1_3_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC159_12_84_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC16_T3B_2_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC160_2_13_0923_TP_1C_OM	TP	OM	TP_OM
ASCC161_6_38_0923_TP_1C_OM2	TP	OM	TP_OM
ASCC162_1_3_0923_TP_1C_OM	TP	OM	TP_OM
ASCC163_13_88_0923_TP_1C_OM	TP	OM	TP_OM
ASCC164_2_12_0923_TP_1C_OM	TP	OM	TP_OM
ASCC165_7_44_0923_TP_1C_OM	TP	OM	TP_OM
ASCC166_5_32_0923_TP_1C_OM	TP	OM	TP_OM
ASCC167_15_100_0923_TP_1C_OM	TP	OM	TP_OM
ASCC168_10_68_0923_TP_1C_OM	TP	OM	TP_OM
ASCC169_14_97_0923_TP_1C_OM	TP	OM	TP_OM
ASCC17_T4A_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC170_12_82_0923_TP_1C_OM	TP	OM	TP_OM
ASCC171_3_16_0923_TP_1C_OM	TP	OM	TP_OM
ASCC172_11_72_0923_TP_1C_OM	TP	OM	TP_OM
ASCC173_5_33_0923_TP_1C_OM	TP	OM	TP_OM
ASCC174_3_15_0923_TP_1C_OM	TP	OM	TP_OM
ASCC175_10_67_0923_TP_1C_OM	TP	OM	TP_OM
ASCC176_8_52_0923_TP_1C_OM	TP	OM	TP_OM
ASCC177_14_94_0923_TP_1C_OM	TP	OM	TP_OM
ASCC178_4_26_0923_TP_1C_OM	TP	OM	TP_OM
ASCC179_16_110_0923_TP_1C_OM	TP	OM	TP_OM
ASCC18_C3_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC180_7_43_0923_TP_1C_OM	TP	OM	TP_OM
ASCC181_11_73_0923_TP_1C_OM	TP	OM	TP_OM
ASCC182_1_4_0923_TP_1C_OM	TP	OM	TP_OM
ASCC183_4_24_0923_TP_1C_OM	TP	OM	TP_OM
ASCC184_6_39_0923_TP_1C_OM	TP	OM	TP_OM
ASCC185_15_101_0923_TP_1C_OM	TP	OM	TP_OM
ASCC186_9_60_0923_TP_1C_OM	TP	OM	TP_OM
ASCC189_13_87_0923_TP_1C_OM	TP	OM	TP_OM
ASCC19_T2B_2_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC190_16_111_0923_TP_1C_OM	TP	OM	TP_OM
ASCC191_T3B_2_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC192_T2A_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC194_C1_5_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC195_C2_2_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC196_T1B_3_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC198_T1C_6_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC2_T1A_6_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC20_T3A_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC201_T2B_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC202_C4_6_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC203_C3_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC204_T4A_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC205_C2_5_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC206_T4B_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC207_T3A_6_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC208_T1A_6_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCD209_T3A_5_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC21_T2C_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC210_T2C_7_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC211_C4_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC212_T4C_6_0923_SJ_1C_OM	SJ	OM	SJ_OM
ASCC213_T3A_4_0923_SJ_1C_OM	SJ	OM	SJ_OM
